review_tokens_stemmed,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi kulit jerawat kulit kerut kulit pori tipe kulit sensitif,"{'classified_text': 'tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi kulit jerawat kulit kerut [-2] kulit pori tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi kulit jerawat kulit kerut kulit pori tipe kulit sensitif', 'sentence_score': ['tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi kulit jerawat kulit kerut [-2] kulit pori tipe kulit sensitif [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi kulit jerawat kulit kerut [-2] kulit pori tipe kulit sensitif [-2], tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi kulit jerawat kulit kerut kulit pori tipe kulit sensitif,['tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi kulit jerawat kulit kerut [-2] kulit pori tipe kulit sensitif [-2]'],1,-2,negatif
barang sesuai pesan,"{'classified_text': 'barang sesuai [3] pesan', 'tweet_text': ' barang sesuai pesan', 'sentence_score': ['barang sesuai [3] pesan'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",barang sesuai [3] pesan, barang sesuai pesan,['barang sesuai [3] pesan'],3,-1,positif
kirim oke saran facial wash nya fragrance biar bau enak bau nyaman,"{'classified_text': 'kirim oke [3] saran facial wash nya fragrance biar bau [-4] enak [4] bau [-4] nyaman [4]', 'tweet_text': ' kirim oke saran facial wash nya fragrance biar bau enak bau nyaman', 'sentence_score': ['kirim oke [3] saran facial wash nya fragrance biar bau [-4] enak [4] bau [-4] nyaman [4]'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",kirim oke [3] saran facial wash nya fragrance biar bau [-4] enak [4] bau [-4] nyaman [4], kirim oke saran facial wash nya fragrance biar bau enak bau nyaman,['kirim oke [3] saran facial wash nya fragrance biar bau [-4] enak [4] bau [-4] nyaman [4]'],4,-4,netral
moga cocok cocok banget pakai,"{'classified_text': 'moga cocok [3] cocok [5] banget pakai', 'tweet_text': ' moga cocok cocok banget pakai', 'sentence_score': ['moga cocok [3] cocok [5] banget pakai'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",moga cocok [3] cocok [5] banget pakai, moga cocok cocok banget pakai,['moga cocok [3] cocok [5] banget pakai'],5,-1,positif
kirim cepat mantap,"{'classified_text': 'kirim cepat [4] mantap [5]', 'tweet_text': ' kirim cepat mantap', 'sentence_score': ['kirim cepat [4] mantap [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",kirim cepat [4] mantap [5], kirim cepat mantap,['kirim cepat [4] mantap [5]'],5,-1,positif
alhamdulillah barang emas barang ok thank you kurir sicepat team avoskin,"{'classified_text': 'alhamdulillah barang emas [4] barang ok [1] thank you kurir sicepat team avoskin', 'tweet_text': ' alhamdulillah barang emas barang ok thank you kurir sicepat team avoskin', 'sentence_score': ['alhamdulillah barang emas [4] barang ok [1] thank you kurir sicepat team avoskin'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",alhamdulillah barang emas [4] barang ok [1] thank you kurir sicepat team avoskin, alhamdulillah barang emas barang ok thank you kurir sicepat team avoskin,['alhamdulillah barang emas [4] barang ok [1] thank you kurir sicepat team avoskin'],4,-1,positif
bahan gampang serap,"{'classified_text': 'bahan gampang serap', 'tweet_text': ' bahan gampang serap', 'sentence_score': ['bahan gampang serap'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",bahan gampang serap, bahan gampang serap,['bahan gampang serap'],1,-1,netral
bagus,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bagus [4], bagus,['bagus [4]'],4,-1,positif
bagus,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bagus [4], bagus,['bagus [4]'],4,-1,positif
oke,"{'classified_text': 'oke [3]', 'tweet_text': ' oke', 'sentence_score': ['oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",oke [3], oke,['oke [3]'],3,-1,positif
gratis mini pouch terima kasih moga cocok,"{'classified_text': 'gratis mini pouch terima kasih [4] moga cocok [3]', 'tweet_text': ' gratis mini pouch terima kasih moga cocok', 'sentence_score': ['gratis mini pouch terima kasih [4] moga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",gratis mini pouch terima kasih [4] moga cocok [3], gratis mini pouch terima kasih moga cocok,['gratis mini pouch terima kasih [4] moga cocok [3]'],4,-1,positif
alhamdulillah barang moga cocok selau harga diskon yes,"{'classified_text': 'alhamdulillah barang moga cocok [3] selau harga diskon yes', 'tweet_text': ' alhamdulillah barang moga cocok selau harga diskon yes', 'sentence_score': ['alhamdulillah barang moga cocok [3] selau harga diskon yes'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",alhamdulillah barang moga cocok [3] selau harga diskon yes, alhamdulillah barang moga cocok selau harga diskon yes,['alhamdulillah barang moga cocok [3] selau harga diskon yes'],3,-1,positif
cocok produk,"{'classified_text': 'cocok [3] produk', 'tweet_text': ' cocok produk', 'sentence_score': ['cocok [3] produk'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",cocok [3] produk, cocok produk,['cocok [3] produk'],3,-1,positif
kali kali beli toko official kali beli amanah thanks,"{'classified_text': 'kali kali beli toko official kali beli amanah thanks', 'tweet_text': ' kali kali beli toko official kali beli amanah thanks', 'sentence_score': ['kali kali beli toko official kali beli amanah thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",kali kali beli toko official kali beli amanah thanks, kali kali beli toko official kali beli amanah thanks,['kali kali beli toko official kali beli amanah thanks'],1,-1,netral
barang nya oke,"{'classified_text': 'barang nya oke [3]', 'tweet_text': ' barang nya oke', 'sentence_score': ['barang nya oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",barang nya oke [3], barang nya oke,['barang nya oke [3]'],3,-1,positif
tipe kulit minyak tipe kulit sensitif kulit pori,"{'classified_text': 'tipe kulit minyak tipe kulit sensitif [-2] kulit pori', 'tweet_text': ' tipe kulit minyak tipe kulit sensitif kulit pori', 'sentence_score': ['tipe kulit minyak tipe kulit sensitif [-2] kulit pori'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit sensitif [-2] kulit pori, tipe kulit minyak tipe kulit sensitif kulit pori,['tipe kulit minyak tipe kulit sensitif [-2] kulit pori'],1,-2,negatif
tipe kulit minyak tipe kulit sensitif,"{'classified_text': 'tipe kulit minyak tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit minyak tipe kulit sensitif', 'sentence_score': ['tipe kulit minyak tipe kulit sensitif [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit sensitif [-2], tipe kulit minyak tipe kulit sensitif,['tipe kulit minyak tipe kulit sensitif [-2]'],1,-2,negatif
so far so good for daily use,"{'classified_text': 'so far so good for daily use', 'tweet_text': ' so far so good for daily use', 'sentence_score': ['so far so good for daily use'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",so far so good for daily use, so far so good for daily use,['so far so good for daily use'],1,-1,netral
tipe kulit kombinasi pakai hasil moga cocok ya,"{'classified_text': 'tipe kulit kombinasi pakai hasil moga cocok [3] ya', 'tweet_text': ' tipe kulit kombinasi pakai hasil moga cocok ya', 'sentence_score': ['tipe kulit kombinasi pakai hasil moga cocok [3] ya'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",tipe kulit kombinasi pakai hasil moga cocok [3] ya, tipe kulit kombinasi pakai hasil moga cocok ya,['tipe kulit kombinasi pakai hasil moga cocok [3] ya'],3,-1,positif
tipe kulit kombinasi kulit jerawat kulit pori,"{'classified_text': 'tipe kulit kombinasi kulit jerawat kulit pori', 'tweet_text': ' tipe kulit kombinasi kulit jerawat kulit pori', 'sentence_score': ['tipe kulit kombinasi kulit jerawat kulit pori'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit kombinasi kulit jerawat kulit pori, tipe kulit kombinasi kulit jerawat kulit pori,['tipe kulit kombinasi kulit jerawat kulit pori'],1,-1,netral
coba moga cocok kulit,"{'classified_text': 'coba moga cocok [3] kulit', 'tweet_text': ' coba moga cocok kulit', 'sentence_score': ['coba moga cocok [3] kulit'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",coba moga cocok [3] kulit, coba moga cocok kulit,['coba moga cocok [3] kulit'],3,-1,positif
kemarin coba cocok tekstur ringan mudah blend whitecast oily apply bagus banget moga diskon,"{'classified_text': 'kemarin coba cocok [3] tekstur ringan mudah [3] blend whitecast oily apply bagus [5] banget moga diskon', 'tweet_text': ' kemarin coba cocok tekstur ringan mudah blend whitecast oily apply bagus banget moga diskon', 'sentence_score': ['kemarin coba cocok [3] tekstur ringan mudah [3] blend whitecast oily apply bagus [5] banget moga diskon'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",kemarin coba cocok [3] tekstur ringan mudah [3] blend whitecast oily apply bagus [5] banget moga diskon, kemarin coba cocok tekstur ringan mudah blend whitecast oily apply bagus banget moga diskon,['kemarin coba cocok [3] tekstur ringan mudah [3] blend whitecast oily apply bagus [5] banget moga diskon'],5,-1,positif
moga manjur exfoliasi wajah,"{'classified_text': 'moga manjur exfoliasi wajah', 'tweet_text': ' moga manjur exfoliasi wajah', 'sentence_score': ['moga manjur exfoliasi wajah'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",moga manjur exfoliasi wajah, moga manjur exfoliasi wajah,['moga manjur exfoliasi wajah'],1,-1,netral
doesn smell as nice as other brands very chemical,"{'classified_text': 'doesn smell as nice as other brands very chemical', 'tweet_text': ' doesn smell as nice as other brands very chemical', 'sentence_score': ['doesn smell as nice as other brands very chemical'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",doesn smell as nice as other brands very chemical, doesn smell as nice as other brands very chemical,['doesn smell as nice as other brands very chemical'],1,-1,netral
tipe kulit normal,"{'classified_text': 'tipe kulit normal [-1]', 'tweet_text': ' tipe kulit normal', 'sentence_score': ['tipe kulit normal [-1]'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit normal [-1], tipe kulit normal,['tipe kulit normal [-1]'],1,-1,netral
nemu serum cocok,"{'classified_text': 'nemu serum cocok [3]', 'tweet_text': ' nemu serum cocok', 'sentence_score': ['nemu serum cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",nemu serum cocok [3], nemu serum cocok,['nemu serum cocok [3]'],3,-1,positif
tipe kulit kering thanks seller tokped,"{'classified_text': 'tipe kulit kering thanks seller tokped', 'tweet_text': ' tipe kulit kering thanks seller tokped', 'sentence_score': ['tipe kulit kering thanks seller tokped'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit kering thanks seller tokped, tipe kulit kering thanks seller tokped,['tipe kulit kering thanks seller tokped'],1,-1,netral
good product thanks seller,"{'classified_text': 'good product thanks seller', 'tweet_text': ' good product thanks seller', 'sentence_score': ['good product thanks seller'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",good product thanks seller, good product thanks seller,['good product thanks seller'],1,-1,netral
terima kasih barang terima,"{'classified_text': 'terima kasih [4] barang terima', 'tweet_text': ' terima kasih barang terima', 'sentence_score': ['terima kasih [4] barang terima'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",terima kasih [4] barang terima, terima kasih barang terima,['terima kasih [4] barang terima'],4,-1,positif
produk bocor apply muka asa lembab,"{'classified_text': 'produk bocor [-3] apply muka asa lembab', 'tweet_text': ' produk bocor apply muka asa lembab', 'sentence_score': ['produk bocor [-3] apply muka asa lembab'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",produk bocor [-3] apply muka asa lembab, produk bocor apply muka asa lembab,['produk bocor [-3] apply muka asa lembab'],1,-3,negatif
keluar sunscreen spf avo team formulasi persis kayak tgs please tipe kulit mudah jerawat kayak,"{'classified_text': 'keluar [-3] sunscreen spf avo team formulasi persis kayak tgs please tipe kulit mudah [3] jerawat kayak', 'tweet_text': ' keluar sunscreen spf avo team formulasi persis kayak tgs please tipe kulit mudah jerawat kayak', 'sentence_score': ['keluar [-3] sunscreen spf avo team formulasi persis kayak tgs please tipe kulit mudah [3] jerawat kayak'], 'max_positive': 3, 'max_negative': -3, 'kelas': 'netral'}",keluar [-3] sunscreen spf avo team formulasi persis kayak tgs please tipe kulit mudah [3] jerawat kayak, keluar sunscreen spf avo team formulasi persis kayak tgs please tipe kulit mudah jerawat kayak,['keluar [-3] sunscreen spf avo team formulasi persis kayak tgs please tipe kulit mudah [3] jerawat kayak'],3,-3,netral
paket rapi kirim cepat seblmnya pakai varian ybs cocok moga cocok varian,"{'classified_text': 'paket rapi [4] kirim cepat [4] seblmnya pakai varian ybs cocok [3] moga cocok [3] varian', 'tweet_text': ' paket rapi kirim cepat seblmnya pakai varian ybs cocok moga cocok varian', 'sentence_score': ['paket rapi [4] kirim cepat [4] seblmnya pakai varian ybs cocok [3] moga cocok [3] varian'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",paket rapi [4] kirim cepat [4] seblmnya pakai varian ybs cocok [3] moga cocok [3] varian, paket rapi kirim cepat seblmnya pakai varian ybs cocok moga cocok varian,['paket rapi [4] kirim cepat [4] seblmnya pakai varian ybs cocok [3] moga cocok [3] varian'],4,-1,positif
coba tau hasil,"{'classified_text': 'coba tau hasil', 'tweet_text': ' coba tau hasil', 'sentence_score': ['coba tau hasil'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",coba tau hasil, coba tau hasil,['coba tau hasil'],1,-1,netral
yeey deh moga cocok kulit biar tetap produk avoskin,"{'classified_text': 'yeey deh moga cocok [3] kulit biar tetap produk avoskin', 'tweet_text': ' yeey deh moga cocok kulit biar tetap produk avoskin', 'sentence_score': ['yeey deh moga cocok [3] kulit biar tetap produk avoskin'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",yeey deh moga cocok [3] kulit biar tetap produk avoskin, yeey deh moga cocok kulit biar tetap produk avoskin,['yeey deh moga cocok [3] kulit biar tetap produk avoskin'],3,-1,positif
barang selamat packaging bagus sesuai order,"{'classified_text': 'barang selamat [4] packaging bagus [4] sesuai [4] order', 'tweet_text': ' barang selamat packaging bagus sesuai order', 'sentence_score': ['barang selamat [4] packaging bagus [4] sesuai [4] order'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",barang selamat [4] packaging bagus [4] sesuai [4] order, barang selamat packaging bagus sesuai order,['barang selamat [4] packaging bagus [4] sesuai [4] order'],4,-1,positif
barang coba moga cocok,"{'classified_text': 'barang coba moga cocok [3]', 'tweet_text': ' barang coba moga cocok', 'sentence_score': ['barang coba moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",barang coba moga cocok [3], barang coba moga cocok,['barang coba moga cocok [3]'],3,-1,positif
always the best sih sih avoo thanks avo cocok kece hasil,"{'classified_text': 'always the best sih sih avoo thanks avo cocok [3] kece hasil', 'tweet_text': ' always the best sih sih avoo thanks avo cocok kece hasil', 'sentence_score': ['always the best sih sih avoo thanks avo cocok [3] kece hasil'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",always the best sih sih avoo thanks avo cocok [3] kece hasil, always the best sih sih avoo thanks avo cocok kece hasil,['always the best sih sih avoo thanks avo cocok [3] kece hasil'],3,-1,positif
tipe kulit minyak tipe kulit kombinasi tipe kulit kering tipe kulit normal tipe kulit sensitif kulit jerawat kulit kerut kulit pori,"{'classified_text': 'tipe kulit minyak tipe kulit kombinasi tipe kulit kering tipe kulit normal [-1] tipe kulit sensitif [-2] kulit jerawat kulit kerut [-2] kulit pori', 'tweet_text': ' tipe kulit minyak tipe kulit kombinasi tipe kulit kering tipe kulit normal tipe kulit sensitif kulit jerawat kulit kerut kulit pori', 'sentence_score': ['tipe kulit minyak tipe kulit kombinasi tipe kulit kering tipe kulit normal [-1] tipe kulit sensitif [-2] kulit jerawat kulit kerut [-2] kulit pori'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit kombinasi tipe kulit kering tipe kulit normal [-1] tipe kulit sensitif [-2] kulit jerawat kulit kerut [-2] kulit pori, tipe kulit minyak tipe kulit kombinasi tipe kulit kering tipe kulit normal tipe kulit sensitif kulit jerawat kulit kerut kulit pori,['tipe kulit minyak tipe kulit kombinasi tipe kulit kering tipe kulit normal [-1] tipe kulit sensitif [-2] kulit jerawat kulit kerut [-2] kulit pori'],1,-2,negatif
tipe kulit kombinasi kulit kerut kulit pori,"{'classified_text': 'tipe kulit kombinasi kulit kerut [-2] kulit pori', 'tweet_text': ' tipe kulit kombinasi kulit kerut kulit pori', 'sentence_score': ['tipe kulit kombinasi kulit kerut [-2] kulit pori'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit kombinasi kulit kerut [-2] kulit pori, tipe kulit kombinasi kulit kerut kulit pori,['tipe kulit kombinasi kulit kerut [-2] kulit pori'],1,-2,negatif
beli sekian kali,"{'classified_text': 'beli sekian kali', 'tweet_text': ' beli sekian kali', 'sentence_score': ['beli sekian kali'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",beli sekian kali, beli sekian kali,['beli sekian kali'],1,-1,netral
rugi banget sesal beli toner coba paling merk bikin kecewa avoskin beli ml kirim ml aaaaaa chat solusi suruh tunggu senin bikin tambah emosi review rating ganti senin solusi ganti rugi,"{'classified_text': 'rugi [-5] banget sesal beli toner coba paling merk bikin kecewa [-3] avoskin beli ml kirim ml a [2] chat solusi suruh tunggu senin bikin tambah emosi [-4] review rating ganti senin solusi ganti rugi [-4]', 'tweet_text': ' rugi banget sesal beli toner coba paling merk bikin kecewa avoskin beli ml kirim ml a chat solusi suruh tunggu senin bikin tambah emosi review rating ganti senin solusi ganti rugi', 'sentence_score': ['rugi [-5] banget sesal beli toner coba paling merk bikin kecewa [-3] avoskin beli ml kirim ml a [2] chat solusi suruh tunggu senin bikin tambah emosi [-4] review rating ganti senin solusi ganti rugi [-4]'], 'max_positive': 2, 'max_negative': -5, 'kelas': 'negatif'}",rugi [-5] banget sesal beli toner coba paling merk bikin kecewa [-3] avoskin beli ml kirim ml a [2] chat solusi suruh tunggu senin bikin tambah emosi [-4] review rating ganti senin solusi ganti rugi [-4], rugi banget sesal beli toner coba paling merk bikin kecewa avoskin beli ml kirim ml a chat solusi suruh tunggu senin bikin tambah emosi review rating ganti senin solusi ganti rugi,['rugi [-5] banget sesal beli toner coba paling merk bikin kecewa [-3] avoskin beli ml kirim ml a [2] chat solusi suruh tunggu senin bikin tambah emosi [-4] review rating ganti senin solusi ganti rugi [-4]'],2,-5,negatif
alhamdulillah seller komunikatif gercep coba produk moga cocok amin,"{'classified_text': 'alhamdulillah seller komunikatif gercep coba produk moga cocok [3] amin', 'tweet_text': ' alhamdulillah seller komunikatif gercep coba produk moga cocok amin', 'sentence_score': ['alhamdulillah seller komunikatif gercep coba produk moga cocok [3] amin'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",alhamdulillah seller komunikatif gercep coba produk moga cocok [3] amin, alhamdulillah seller komunikatif gercep coba produk moga cocok amin,['alhamdulillah seller komunikatif gercep coba produk moga cocok [3] amin'],3,-1,positif
tipe kulit normal oily pori gede komedo hidung moga bantu ya xixi,"{'classified_text': 'tipe kulit normal [-1] oily pori gede komedo hidung moga bantu ya xixi', 'tweet_text': ' tipe kulit normal oily pori gede komedo hidung moga bantu ya xixi', 'sentence_score': ['tipe kulit normal [-1] oily pori gede komedo hidung moga bantu ya xixi'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit normal [-1] oily pori gede komedo hidung moga bantu ya xixi, tipe kulit normal oily pori gede komedo hidung moga bantu ya xixi,['tipe kulit normal [-1] oily pori gede komedo hidung moga bantu ya xixi'],1,-1,netral
thank you selamat,"{'classified_text': 'thank you selamat [4]', 'tweet_text': ' thank you selamat', 'sentence_score': ['thank you selamat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",thank you selamat [4], thank you selamat,['thank you selamat [4]'],4,-1,positif
kulit jerawat,"{'classified_text': 'kulit jerawat', 'tweet_text': ' kulit jerawat', 'sentence_score': ['kulit jerawat'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",kulit jerawat, kulit jerawat,['kulit jerawat'],1,-1,netral
tipe kulit kombinasi,"{'classified_text': 'tipe kulit kombinasi', 'tweet_text': ' tipe kulit kombinasi', 'sentence_score': ['tipe kulit kombinasi'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit kombinasi, tipe kulit kombinasi,['tipe kulit kombinasi'],1,-1,netral
tipe kulit minyak tipe kulit kering tipe kulit kombinasi tipe kulit normal tipe kulit sensitif kulit jerawat kulit kerut kulit pori,"{'classified_text': 'tipe kulit minyak tipe kulit kering tipe kulit kombinasi tipe kulit normal [-1] tipe kulit sensitif [-2] kulit jerawat kulit kerut [-2] kulit pori', 'tweet_text': ' tipe kulit minyak tipe kulit kering tipe kulit kombinasi tipe kulit normal tipe kulit sensitif kulit jerawat kulit kerut kulit pori', 'sentence_score': ['tipe kulit minyak tipe kulit kering tipe kulit kombinasi tipe kulit normal [-1] tipe kulit sensitif [-2] kulit jerawat kulit kerut [-2] kulit pori'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit kering tipe kulit kombinasi tipe kulit normal [-1] tipe kulit sensitif [-2] kulit jerawat kulit kerut [-2] kulit pori, tipe kulit minyak tipe kulit kering tipe kulit kombinasi tipe kulit normal tipe kulit sensitif kulit jerawat kulit kerut kulit pori,['tipe kulit minyak tipe kulit kering tipe kulit kombinasi tipe kulit normal [-1] tipe kulit sensitif [-2] kulit jerawat kulit kerut [-2] kulit pori'],1,-2,negatif
